epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1502.11,1.48805,1.10942,0.00613,0.77391,0.55303,0.61691,0.41913,1.30285,1.00694,0.00755,0.0008647,0.0008647,0.0008647
43,1538.83,1.48339,1.1114,0.00647,0.70496,0.57261,0.62533,0.41867,1.2921,0.96493,0.00803,0.0008614,0.0008614,0.0008614
44,1575.15,1.441,1.09313,0.00608,0.79743,0.51411,0.61532,0.42917,1.30356,0.99286,0.00809,0.0008581,0.0008581,0.0008581
45,1611.99,1.43513,1.08311,0.00613,0.73347,0.56586,0.62608,0.42474,1.26854,0.98903,0.00746,0.0008548,0.0008548,0.0008548
46,1648.27,1.4068,1.075,0.0059,0.74071,0.56223,0.63115,0.43298,1.2608,0.92219,0.00735,0.0008515,0.0008515,0.0008515
47,1684.28,1.43038,1.06144,0.00575,0.79082,0.54188,0.64171,0.43905,1.21048,0.93858,0.00664,0.0008482,0.0008482,0.0008482
48,1720.69,1.42385,1.06113,0.00569,0.78589,0.53322,0.63194,0.43433,1.26116,0.94155,0.00708,0.0008449,0.0008449,0.0008449
49,1756.63,1.41105,1.05907,0.00592,0.76227,0.56642,0.64171,0.4292,1.31293,0.9321,0.00794,0.0008416,0.0008416,0.0008416
50,1793.08,1.41954,1.07162,0.00599,0.83084,0.54821,0.64381,0.44377,1.3116,0.93162,0.00764,0.0008383,0.0008383,0.0008383
51,1831.26,1.40788,1.06541,0.00596,0.8429,0.53348,0.63692,0.44467,1.25656,0.90386,0.00733,0.000835,0.000835,0.000835
52,1868.42,1.41158,1.0556,0.00581,0.81804,0.5521,0.6503,0.44984,1.25525,0.93455,0.00776,0.0008317,0.0008317,0.0008317
53,1905.6,1.39485,1.03435,0.00559,0.78907,0.56215,0.64775,0.44804,1.22085,0.92787,0.00721,0.0008284,0.0008284,0.0008284
54,1943.08,1.38184,1.02488,0.00568,0.81327,0.54634,0.64297,0.44731,1.22706,0.9003,0.00698,0.0008251,0.0008251,0.0008251
55,1981.72,1.36184,1.0178,0.00573,0.87329,0.5327,0.65727,0.45504,1.21859,0.91939,0.00727,0.0008218,0.0008218,0.0008218
56,2019.92,1.38935,1.03569,0.00564,0.77034,0.57931,0.65654,0.45007,1.21021,0.89686,0.00681,0.0008185,0.0008185,0.0008185
57,2058.57,1.38964,1.01585,0.00566,0.79819,0.53511,0.63909,0.45181,1.17786,0.92051,0.00673,0.0008152,0.0008152,0.0008152
58,2096,1.3417,0.99973,0.00544,0.86174,0.53288,0.65383,0.45892,1.22375,0.87933,0.00724,0.0008119,0.0008119,0.0008119
59,2132.48,1.3414,0.9994,0.00559,0.81212,0.562,0.64827,0.45424,1.2415,0.87441,0.00755,0.0008086,0.0008086,0.0008086
60,2168.59,1.35089,0.99994,0.00557,0.77978,0.56297,0.66122,0.44712,1.2168,0.92256,0.00685,0.0008053,0.0008053,0.0008053
61,2204.76,1.33943,0.99419,0.00534,0.80749,0.56337,0.66092,0.46552,1.18425,0.8786,0.0064,0.000802,0.000802,0.000802
62,2241.12,1.34729,0.98686,0.00534,0.7818,0.56251,0.66145,0.46714,1.19901,0.87071,0.00721,0.0007987,0.0007987,0.0007987
63,2277.42,1.35378,1.00207,0.00544,0.84517,0.5476,0.64909,0.465,1.18616,0.87188,0.00651,0.0007954,0.0007954,0.0007954
64,2315.44,1.33278,0.98633,0.00552,0.7897,0.55544,0.64751,0.45528,1.22241,0.88851,0.00714,0.0007921,0.0007921,0.0007921
65,2351.72,1.3466,0.98994,0.00536,0.84602,0.55027,0.67229,0.47463,1.17076,0.83181,0.00639,0.0007888,0.0007888,0.0007888
66,2387.87,1.32107,0.97528,0.00528,0.83204,0.56454,0.6613,0.47186,1.16995,0.85144,0.00661,0.0007855,0.0007855,0.0007855
67,2424.15,1.31403,0.97024,0.00543,0.84749,0.55077,0.67981,0.47351,1.1739,0.84395,0.00635,0.0007822,0.0007822,0.0007822
68,2460.15,1.33071,0.97567,0.00526,0.85307,0.54395,0.68635,0.47476,1.15567,0.84382,0.00682,0.0007789,0.0007789,0.0007789
69,2496.93,1.32117,0.98368,0.00542,0.82545,0.5557,0.65911,0.47909,1.11305,0.84034,0.00607,0.0007756,0.0007756,0.0007756
70,2533.25,1.32143,0.97052,0.00517,0.83677,0.57036,0.69458,0.47224,1.14893,0.84892,0.00624,0.0007723,0.0007723,0.0007723
71,2569.38,1.33126,0.98366,0.00516,0.8898,0.5524,0.68779,0.48987,1.13763,0.83144,0.0066,0.000769,0.000769,0.000769
72,2605.78,1.31201,0.95352,0.0051,0.85621,0.56528,0.69116,0.49758,1.11561,0.80879,0.00595,0.0007657,0.0007657,0.0007657
73,2642,1.31126,0.95506,0.00503,0.81481,0.54607,0.66202,0.47837,1.1213,0.8517,0.00622,0.0007624,0.0007624,0.0007624
74,2678.4,1.28853,0.93875,0.00515,0.87052,0.55613,0.70337,0.48788,1.1125,0.83922,0.00579,0.0007591,0.0007591,0.0007591
75,2714.58,1.29494,0.94478,0.00493,0.85459,0.54186,0.68431,0.48741,1.11193,0.84714,0.00582,0.0007558,0.0007558,0.0007558
76,2750.92,1.28738,0.9414,0.00492,0.88087,0.54548,0.67818,0.48304,1.13397,0.84604,0.00639,0.0007525,0.0007525,0.0007525
77,2787.14,1.28112,0.93635,0.00513,0.83456,0.54124,0.66663,0.47579,1.13421,0.84383,0.00614,0.0007492,0.0007492,0.0007492
78,2823.01,1.27041,0.92452,0.005,0.88553,0.53491,0.67313,0.48327,1.10619,0.81619,0.00596,0.0007459,0.0007459,0.0007459
79,2859.2,1.29153,0.94373,0.00498,0.90101,0.53614,0.69153,0.49029,1.12097,0.8149,0.006,0.0007426,0.0007426,0.0007426
