confidence,class_id,x_center,y_center,bottom_y,width,height,area,aspect_ratio,diagonal,inverse_height,inverse_area,scale_score,distance
0.9678481221199036,0,0.85677093,0.7844556,0.9980413,0.28345203,0.42717138,0.1210826,0.6635542,0.51266015,2.3409753,8.258757,0.49617717,3.9368567657024296
0.9598549008369446,0,0.6488603,0.55710274,0.5850751,0.06483466,0.05594473,0.0036271575,1.158885,0.085634954,17.874466,275.62198,0.08219713,40.155882534249706
0.9473887085914612,0,0.6569996,0.5673742,0.58819896,0.05075817,0.04164944,0.0021140494,1.2186708,0.06565872,24.009352,472.8022,0.062204327,37.88734776302593
0.9304878115653992,0,0.42047423,0.55576885,0.59089035,0.059896596,0.07024298,0.0042073154,0.8526937,0.09231293,14.236096,237.62479,0.08589606,38.04973568915676
0.9250673651695251,1,0.8455824,0.55318826,0.59464484,0.02769343,0.082913116,0.0022961486,0.3340014,0.08741573,12.060673,435.3223,0.08086544,31.426350418091932
0.9062422513961792,1,0.14197113,0.5484538,0.582984,0.033344302,0.069060326,0.0023027684,0.48282164,0.07668879,14.479884,434.0714,0.06949862,36.86872787470316
0.9049568772315979,1,0.2136698,0.56167686,0.6042762,0.03498459,0.085198686,0.0029806409,0.41061875,0.092101775,11.737133,335.3858,0.08334813,24.214103945648482
0.8940637707710266,1,0.9518327,0.59700185,0.6567236,0.04741726,0.11944356,0.0056636864,0.39698136,0.12851132,8.372086,176.53229,0.11489732,49.17527541710597
0.8454816937446594,1,0.7295843,0.5506727,0.5841225,0.027088547,0.06689949,0.0018122101,0.40490803,0.072175704,14.947574,551.50806,0.061023235,38.63167307502731
0.8441532254219055,0,0.10495717,0.8142158,1.0,0.205747,0.37156844,0.07644909,0.55372417,0.42472926,2.6912868,13.08043,0.35853657,3.383212420665167
0.7985349297523499,1,0.7891416,0.55786306,0.59383553,0.035976347,0.071945,0.0025883182,0.50004655,0.08043867,13.899314,386.20206,0.06423309,50.73799897608209
0.7317942380905151,0,0.57343405,0.5343431,0.5500063,0.0345953,0.031326246,0.0010837408,1.1043199,0.04667085,31.921097,921.87915,0.034153458,62.02215447940429
0.709636926651001,0,0.58501506,0.53966045,0.5616011,0.039219666,0.04388132,0.0017210107,0.89374644,0.058853652,22.788221,580.7165,0.041764725,56.09312255058088
0.6942726969718933,0,0.60807765,0.5482103,0.57238,0.056527965,0.048339367,0.002732526,1.169374,0.074378125,20.686646,365.82785,0.0516387,50.63192341113025
0.6941871047019958,1,0.3588912,0.55507445,0.58771163,0.033590954,0.065274335,0.0021926272,0.5146041,0.07341043,15.319722,455.86597,0.050960574,61.98289053617955
0.6796518564224243,1,0.90375394,0.57149404,0.61532354,0.027866108,0.08765898,0.0024427145,0.31788862,0.09198161,11.407715,409.2131,0.062515475,30.979897328039687
0.6729151010513306,0,0.44066557,0.536976,0.5555732,0.034998227,0.03719454,0.0013017429,0.9409254,0.05107161,26.884945,767.6112,0.034366857,62.64399084269414
0.6579536199569702,0,0.4350767,0.54391956,0.5668143,0.045072716,0.04578948,0.0020638562,0.98432505,0.064251274,21.838602,484.29523,0.04227436,49.48991751931223
0.6555294394493103,1,0.024252795,0.6303857,0.7145988,0.041785784,0.16842613,0.007037818,0.24809414,0.17353216,5.937286,142.0693,0.113755435,13.140781552063151
0.6368578672409058,1,0.29934484,0.54110444,0.57175076,0.025942039,0.061292697,0.0015900575,0.42324156,0.066556625,16.314892,628.5128,0.04238711,30.394763461710898
0.6158690452575684,1,0.56163883,0.5579419,0.59279466,0.031295776,0.06970544,0.002181486,0.44896534,0.0764086,14.345877,458.19308,0.047057692,43.068345435307535
0.5229980945587158,0,0.58106124,0.53819305,0.5571939,0.038768258,0.038001634,0.0014732572,1.0201466,0.054287218,26.313967,678.3077,0.028392112,62.02215447940429
0.5177228450775146,1,0.7482981,0.5624118,0.60109025,0.036638834,0.07735696,0.0028342686,0.4736272,0.08559499,12.926919,352.70026,0.04431448,29.22986874514394
0.5119372606277466,1,0.5598962,0.56013155,0.5973509,0.031350326,0.07443871,0.0023336778,0.42115057,0.080771066,13.43369,428.32462,0.04134972,43.068345435307535
0.4964441955089569,0,0.010705977,0.5274764,0.59745055,0.018355796,0.13994837,0.0025688638,0.13116026,0.14114702,7.1454415,389.12567,0.070071615,34.29363270808017
0.4671003222465515,1,0.31600866,0.55720025,0.5949072,0.035314243,0.07541394,0.0026631863,0.46826586,0.0832728,13.259972,375.34912,0.03889675,41.533903839261875
0.44805407524108887,0,0.5682133,0.53098214,0.5455405,0.030905724,0.029116774,0.00089987495,1.0614041,0.04246116,34.343285,1110.032,0.019024896,62.02215447940429
0.4035303294658661,0,0.5961787,0.5433769,0.5664506,0.047683015,0.046147395,0.002200447,1.033254,0.066357,21.669228,454.24667,0.026777063,56.09312255058088
0.30788999795913696,1,0.38180837,0.53895646,0.5644708,0.019560179,0.051028777,0.000998132,0.38330913,0.054649215,19.596403,1000.8687,0.016825946,34.52782339689438
0.30120033025741577,0,0.6269671,0.5528407,0.576708,0.06399142,0.047734596,0.0030546046,1.3405389,0.07983416,20.948729,327.26746,0.024046076,44.622583359944066
0.2993352711200714,0,0.010707476,0.542062,0.6021445,0.016006503,0.12016497,0.0019234209,0.1332033,0.12122635,8.321824,519.63684,0.036287323,34.29363270808017
0.25359365344047546,1,0.7408826,0.5327724,0.553916,0.017180633,0.042287063,0.0007265185,0.4062762,0.045643944,23.647337,1374.5354,0.011575014,77.43996974351133
0.9839189648628235,0,0.73645365,0.467444,0.5710565,0.17856744,0.20722497,0.037003633,0.861704,0.27354804,4.82565,27.023645,0.2691491,36.25205661189647
0.9741748571395874,0,0.44205317,0.49535722,0.54639053,0.09989385,0.10206666,0.010195832,0.9787023,0.14281592,9.797423,98.06967,0.13912767,48.34852439375607
0.9731447696685791,0,0.7432017,0.8010456,0.99999994,0.5079505,0.3979087,0.2021179,1.2765471,0.645248,2.513133,4.9475827,0.62791973,3.383212420665167
0.9653343558311462,1,0.89359474,0.60925835,0.6947551,0.07155152,0.17099348,0.012234842,0.41844344,0.18536016,5.848142,81.727104,0.17893453,13.140781552063151
0.9105281233787537,0,0.55504036,0.5264436,0.55760956,0.10590652,0.062331866,0.006601351,1.6990478,0.12288797,16.042902,151.46121,0.11189295,38.320237652402085
